## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2011-02-11,21816,4719,544,11380,38459
2011-02-12,24448,1724,565,6276,33013
2011-02-13,20861,565,434,3702,25562
2011-02-14,15140,4727,295,10383,30545
2011-02-15,14045,5215,309,11037,30606
2011-02-16,15173,5464,376,11683,32696
2011-02-17,16446,5192,455,11355,33448
2011-02-18,23289,4686,598,11451,40024
2011-02-19,25766,1931,374,6822,34893
2011-02-20,21090,571,430,3694,25785
2011-02-21,14626,4801,369,10375,30171
2011-02-22,13183,5224,302,10952,29661
2011-02-23,15368,5482,345,11670,32865
2011-02-24,16002,5086,351,11027,32466
2011-02-25,22979,4680,533,11282,39474
2011-02-26,28126,1696,507,6776,37105
2011-02-27,20890,609,470,3793,25762
2011-02-28,14990,4838,344,10441,30613
2011-03-01,14271,5282,308,11166,31027
2011-03-02,15954,5196,395,11378,32923
2011-03-03,17245,5405,383,11909,34942
2011-03-04,23701,4544,429,11534,40208
2011-03-05,24503,1810,209,7220,33742
2011-03-06,20553,473,478,3736,25240
2011-03-07,16231,4658,289,10504,31682
2011-03-08,17201,4917,333,11169,33620
2011-03-09,18393,5265,402,11976,36036
2011-03-10,17915,5380,406,12012,35713
2011-03-11,24210,4668,552,11595,41025
2011-03-12,29080,1696,522,7177,38475
2011-03-13,23503,561,483,4026,28573
2011-03-14,15731,5133,359,11043,32266
2011-03-15,15009,5335,355,11290,31989
2011-03-16,16581,5391,379,11571,33922
2011-03-17,17026,5504,452,12174,35156
2011-03-18,22305,4534,572,11013,38424
2011-03-19,24240,1678,568,6053,32539
2011-03-20,24140,573,465,4298,29476
2011-03-21,15829,5037,314,10898,32078
2011-03-22,14866,5282,333,11280,31761
2011-03-23,16317,5391,323,11777,33808
2011-03-24,17285,5508,388,12106,35287
2011-03-25,21961,4808,465,11423,38657
2011-03-26,23639,1628,394,5619,31280
2011-03-27,21123,607,410,3716,25856
2011-03-28,15201,5067,330,10983,31581
2011-03-29,14748,5360,321,11380,31809
2011-03-30,14901,5549,326,11915,32691
2011-03-31,16197,5353,401,11704,33655
2011-04-01,20912,4753,484,11145,37294
2011-04-02,16962,1519,437,4968,23886
